"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000099650","Gm28129","predicted gene 28129 [Source:MGI Symbol;Acc:MGI:5578835]"
"ENSMUSG00000101560","Gm28127","predicted gene 28127 [Source:MGI Symbol;Acc:MGI:5578833]"
"ENSMUSG00000101954","Gm28128","predicted gene 28128 [Source:MGI Symbol;Acc:MGI:5578834]"
"ENSMUSG00000099348","Gm28132","predicted gene 28132 [Source:MGI Symbol;Acc:MGI:5578838]"
"ENSMUSG00000099380","Gm28130","predicted gene 28130 [Source:MGI Symbol;Acc:MGI:5578836]"
"ENSMUSG00000101412","Gm28131","predicted gene 28131 [Source:MGI Symbol;Acc:MGI:5578837]"
"ENSMUSG00000099880","Gm29316","predicted gene 29316 [Source:MGI Symbol;Acc:MGI:5580022]"
"ENSMUSG00000101642","Gm29315","predicted gene 29315 [Source:MGI Symbol;Acc:MGI:5580021]"
"ENSMUSG00000101719","Gm28216","predicted gene 28216 [Source:MGI Symbol;Acc:MGI:5578922]"
"ENSMUSG00000100896","Gm28217","predicted gene 28217 [Source:MGI Symbol;Acc:MGI:5578923]"
"ENSMUSG00000099347","Gm28093","predicted gene 28093 [Source:MGI Symbol;Acc:MGI:5578799]"
"ENSMUSG00000101379","Gm28092","predicted gene 28092 [Source:MGI Symbol;Acc:MGI:5578798]"
"ENSMUSG00000100565","Gm28091","predicted gene 28091 [Source:MGI Symbol;Acc:MGI:5578797]"
"ENSMUSG00000100038","Gm29580","predicted gene 29580 [Source:MGI Symbol;Acc:MGI:5580286]"
"ENSMUSG00000100415","Gm28089","predicted gene 28089 [Source:MGI Symbol;Acc:MGI:5578795]"
"ENSMUSG00000101775","Gm28088","predicted gene 28088 [Source:MGI Symbol;Acc:MGI:5578794]"
"ENSMUSG00000095192","Gm21529","predicted gene, 21529 [Source:MGI Symbol;Acc:MGI:5434884]"
"ENSMUSG00000100311","Gm29581","predicted gene 29581 [Source:MGI Symbol;Acc:MGI:5580287]"
"ENSMUSG00000094232","Gm21539","predicted gene, 21539 [Source:MGI Symbol;Acc:MGI:5434894]"
"ENSMUSG00000099990","Gm29578","predicted gene 29578 [Source:MGI Symbol;Acc:MGI:5580284]"
"ENSMUSG00000101527","Gm21908","predicted gene, 21908 [Source:MGI Symbol;Acc:MGI:5434072]"
"ENSMUSG00000096698","Gm21780","predicted gene, 21780 [Source:MGI Symbol;Acc:MGI:5433944]"
"ENSMUSG00000099855","Gm28486","predicted gene 28486 [Source:MGI Symbol;Acc:MGI:5579192]"
"ENSMUSG00000100928","Gm28487","predicted gene 28487 [Source:MGI Symbol;Acc:MGI:5579193]"
"ENSMUSG00000101667","Rbmyf4","RNA binding motif protein Y-linked family member 4 [Source:MGI Symbol;Acc:MGI:5579995]"
"ENSMUSG00000093918","Rbmyf5","RNA binding motif protein Y-linked family member 5 [Source:MGI Symbol;Acc:MGI:5435032]"
"ENSMUSG00000099455","Gm29288","predicted gene 29288 [Source:MGI Symbol;Acc:MGI:5579994]"
"ENSMUSG00000094511","Rbmyf6","RNA binding motif protein Y-linked family member 6 [Source:MGI Symbol;Acc:MGI:5435048]"
"ENSMUSG00000101141","Gm21139","predicted gene, 21139 [Source:MGI Symbol;Acc:MGI:5434494]"
"ENSMUSG00000093987","Rbmyf7","RNA binding motif protein Y-linked family member 7 [Source:MGI Symbol;Acc:MGI:5435059]"
"ENSMUSG00000100285","Gm21147","predicted gene, 21147 [Source:MGI Symbol;Acc:MGI:5434502]"
"ENSMUSG00000095948","Rbmyf8","RNA binding motif protein Y-linked family member 8 [Source:MGI Symbol;Acc:MGI:5435063]"
"ENSMUSG00000100960","Gm21156","predicted gene, 21156 [Source:MGI Symbol;Acc:MGI:5434511]"
"ENSMUSG00000099970","Rhoay-ps2","ras homolog A translocated to the Y, pseudogene 2 [Source:MGI Symbol;Acc:MGI:1314636]"
"ENSMUSG00000099660","Gm2316","predicted gene 2316 [Source:MGI Symbol;Acc:MGI:3780487]"
"ENSMUSG00000096520","Rbmyf9","RNA binding motif protein Y-linked family member 9 [Source:MGI Symbol;Acc:MGI:3781554]"
"ENSMUSG00000101016","Gm2325","predicted gene 2325 [Source:MGI Symbol;Acc:MGI:3780495]"
"ENSMUSG00000100360","Gm28649","predicted gene 28649 [Source:MGI Symbol;Acc:MGI:5579355]"
"ENSMUSG00000099838","Gm8521","predicted gene 8521 [Source:MGI Symbol;Acc:MGI:3645039]"
"ENSMUSG00000100132","Gm18177","predicted gene, 18177 [Source:MGI Symbol;Acc:MGI:5010362]"
"ENSMUSG00000101030","Gm28429","predicted gene 28429 [Source:MGI Symbol;Acc:MGI:5579135]"
"ENSMUSG00000100641","Gm28413","predicted gene 28413 [Source:MGI Symbol;Acc:MGI:5579119]"
"ENSMUSG00000101145","Gm28412","predicted gene 28412 [Source:MGI Symbol;Acc:MGI:5579118]"
"ENSMUSG00000100656","Gm8525","predicted gene 8525 [Source:MGI Symbol;Acc:MGI:3648451]"
"ENSMUSG00000100082","Gm28414","predicted gene 28414 [Source:MGI Symbol;Acc:MGI:5579120]"
"ENSMUSG00000101712","Gm28648","predicted gene 28648 [Source:MGI Symbol;Acc:MGI:5579354]"
"ENSMUSG00000101558","Gm28647","predicted gene 28647 [Source:MGI Symbol;Acc:MGI:5579353]"
"ENSMUSG00000100753","Gm29435","predicted gene 29435 [Source:MGI Symbol;Acc:MGI:5580141]"
"ENSMUSG00000101499","Vmn2r-ps139","vomeronasal 2, receptor, pseudogene 139 [Source:MGI Symbol;Acc:MGI:3761343]"
"ENSMUSG00000101108","Gm29038","predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]"
"ENSMUSG00000100300","Gm28191","predicted gene 28191 [Source:MGI Symbol;Acc:MGI:5578897]"
"ENSMUSG00000099514","Gm28241","predicted gene 28241 [Source:MGI Symbol;Acc:MGI:5578947]"
"ENSMUSG00000100446","Gm28242","predicted gene 28242 [Source:MGI Symbol;Acc:MGI:5578948]"
"ENSMUSG00000102680","Gm37222","predicted gene, 37222 [Source:MGI Symbol;Acc:MGI:5610450]"
"ENSMUSG00000100984","Gm28357","predicted gene 28357 [Source:MGI Symbol;Acc:MGI:5579063]"
"ENSMUSG00000100137","Gm29352","predicted gene 29352 [Source:MGI Symbol;Acc:MGI:5580058]"
"ENSMUSG00000100958","Gm29351","predicted gene 29351 [Source:MGI Symbol;Acc:MGI:5580057]"
"ENSMUSG00000099575","Gm29350","predicted gene 29350 [Source:MGI Symbol;Acc:MGI:5580056]"
"ENSMUSG00000100597","Gm29349","predicted gene 29349 [Source:MGI Symbol;Acc:MGI:5580055]"
"ENSMUSG00000099410","Gm29355","predicted gene 29355 [Source:MGI Symbol;Acc:MGI:5580061]"
"ENSMUSG00000093927","Gm20918","predicted gene, 20918 [Source:MGI Symbol;Acc:MGI:5434274]"
"ENSMUSG00000100792","Gm29161","predicted gene 29161 [Source:MGI Symbol;Acc:MGI:5579867]"
"ENSMUSG00000099766","Gm28767","predicted gene 28767 [Source:MGI Symbol;Acc:MGI:5579473]"
"ENSMUSG00000099726","Gm29160","predicted gene 29160 [Source:MGI Symbol;Acc:MGI:5579866]"
"ENSMUSG00000101576","Gm20915","predicted gene, 20915 [Source:MGI Symbol;Acc:MGI:5434271]"
"ENSMUSG00000102115","Gm28766","predicted gene 28766 [Source:MGI Symbol;Acc:MGI:5579472]"
"ENSMUSG00000102102","Gm29159","predicted gene 29159 [Source:MGI Symbol;Acc:MGI:5579865]"
"ENSMUSG00000100292","Gm29198","predicted gene 29198 [Source:MGI Symbol;Acc:MGI:5579904]"
"ENSMUSG00000101081","Gm29193","predicted gene 29193 [Source:MGI Symbol;Acc:MGI:5579899]"
"ENSMUSG00000099815","Gm28430","predicted gene 28430 [Source:MGI Symbol;Acc:MGI:5579136]"
"ENSMUSG00000118404","Gm21746","predicted gene, 21746 [Source:MGI Symbol;Acc:MGI:5433910]"
"ENSMUSG00000101525","Gm28593","predicted gene 28593 [Source:MGI Symbol;Acc:MGI:5579299]"
"ENSMUSG00000095148","Gm20873","predicted gene, 20873 [Source:MGI Symbol;Acc:MGI:5434229]"
"ENSMUSG00000101707","Gm28916","predicted gene 28916 [Source:MGI Symbol;Acc:MGI:5579622]"
"ENSMUSG00000101055","Gm28443","predicted gene 28443 [Source:MGI Symbol;Acc:MGI:5579149]"
"ENSMUSG00000096686","Gm20830","predicted gene, 20830 [Source:MGI Symbol;Acc:MGI:5434186]"
"ENSMUSG00000099505","Gm28442","predicted gene 28442 [Source:MGI Symbol;Acc:MGI:5579148]"
"ENSMUSG00000102039","Gm20788","predicted gene, 20788 [Source:MGI Symbol;Acc:MGI:5434144]"
"ENSMUSG00000101479","Gm28997","predicted gene 28997 [Source:MGI Symbol;Acc:MGI:5579703]"
"ENSMUSG00000100939","Gm28998","predicted gene 28998 [Source:MGI Symbol;Acc:MGI:5579704]"
"ENSMUSG00000100262","Gm28398","predicted gene 28398 [Source:MGI Symbol;Acc:MGI:5579104]"
"ENSMUSG00000100453","Gm28397","predicted gene 28397 [Source:MGI Symbol;Acc:MGI:5579103]"
"ENSMUSG00000100858","Gm28400","predicted gene 28400 [Source:MGI Symbol;Acc:MGI:5579106]"
"ENSMUSG00000099965","Gm28399","predicted gene 28399 [Source:MGI Symbol;Acc:MGI:5579105]"
"ENSMUSG00000100948","Gm28395","predicted gene 28395 [Source:MGI Symbol;Acc:MGI:5579101]"
"ENSMUSG00000118447","Gm21788","predicted gene, 21788 [Source:MGI Symbol;Acc:MGI:5433952]"
"ENSMUSG00000100961","Gm28394","predicted gene 28394 [Source:MGI Symbol;Acc:MGI:5579100]"
"ENSMUSG00000100806","Gm28396","predicted gene 28396 [Source:MGI Symbol;Acc:MGI:5579102]"
"ENSMUSG00000101521","Gm28393","predicted gene 28393 [Source:MGI Symbol;Acc:MGI:5579099]"
"ENSMUSG00000094081","Gm20826","predicted gene, 20826 [Source:MGI Symbol;Acc:MGI:5434182]"
"ENSMUSG00000101181","Vmn2r-ps149","vomeronasal 2, receptor, pseudogene 149 [Source:MGI Symbol;Acc:MGI:3761709]"
"ENSMUSG00000100645","Gm28576","predicted gene 28576 [Source:MGI Symbol;Acc:MGI:5579282]"
"ENSMUSG00000100124","Gm28575","predicted gene 28575 [Source:MGI Symbol;Acc:MGI:5579281]"
"ENSMUSG00000101956","Gm28574","predicted gene 28574 [Source:MGI Symbol;Acc:MGI:5579280]"
"ENSMUSG00000101351","Gm28573","predicted gene 28573 [Source:MGI Symbol;Acc:MGI:5579279]"
"ENSMUSG00000100412","Gm28572","predicted gene 28572 [Source:MGI Symbol;Acc:MGI:5579278]"
"ENSMUSG00000102026","Gm28571","predicted gene 28571 [Source:MGI Symbol;Acc:MGI:5579277]"
"ENSMUSG00000099800","Gm28570","predicted gene 28570 [Source:MGI Symbol;Acc:MGI:5579276]"
"ENSMUSG00000099861","Gm29049","predicted gene 29049 [Source:MGI Symbol;Acc:MGI:5579755]"
"ENSMUSG00000095324","Gm20825","predicted gene, 20825 [Source:MGI Symbol;Acc:MGI:5434181]"
"ENSMUSG00000101616","Gm29047","predicted gene 29047 [Source:MGI Symbol;Acc:MGI:5579753]"
"ENSMUSG00000100258","Gm29045","predicted gene 29045 [Source:MGI Symbol;Acc:MGI:5579751]"
"ENSMUSG00000101229","Gm29046","predicted gene 29046 [Source:MGI Symbol;Acc:MGI:5579752]"
"ENSMUSG00000101456","Gm29043","predicted gene 29043 [Source:MGI Symbol;Acc:MGI:5579749]"
"ENSMUSG00000103618","Gm37951","predicted gene, 37951 [Source:MGI Symbol;Acc:MGI:5611179]"
"ENSMUSG00000101928","Gm20824","predicted gene, 20824 [Source:MGI Symbol;Acc:MGI:5434180]"
"ENSMUSG00000100239","Gm28146","predicted gene 28146 [Source:MGI Symbol;Acc:MGI:5578852]"
"ENSMUSG00000100460","Gm28145","predicted gene 28145 [Source:MGI Symbol;Acc:MGI:5578851]"
"ENSMUSG00000101331","Gm28148","predicted gene 28148 [Source:MGI Symbol;Acc:MGI:5578854]"
"ENSMUSG00000101366","Gm28147","predicted gene 28147 [Source:MGI Symbol;Acc:MGI:5578853]"
"ENSMUSG00000101142","Gm28142","predicted gene 28142 [Source:MGI Symbol;Acc:MGI:5578848]"
"ENSMUSG00000100047","Gm28141","predicted gene 28141 [Source:MGI Symbol;Acc:MGI:5578847]"
"ENSMUSG00000100933","Gm28143","predicted gene 28143 [Source:MGI Symbol;Acc:MGI:5578849]"
"ENSMUSG00000100804","Gm28150","predicted gene 28150 [Source:MGI Symbol;Acc:MGI:5578856]"
"ENSMUSG00000101672","Gm28149","predicted gene 28149 [Source:MGI Symbol;Acc:MGI:5578855]"
"ENSMUSG00000099939","Gm28330","predicted gene 28330 [Source:MGI Symbol;Acc:MGI:5579036]"
"ENSMUSG00000100491","Gm28331","predicted gene 28331 [Source:MGI Symbol;Acc:MGI:5579037]"
"ENSMUSG00000099566","Gm28099","predicted gene 28099 [Source:MGI Symbol;Acc:MGI:5578805]"
"ENSMUSG00000101053","Gm20815","predicted gene, 20815 [Source:MGI Symbol;Acc:MGI:5434171]"
"ENSMUSG00000101732","Gm28328","predicted gene 28328 [Source:MGI Symbol;Acc:MGI:5579034]"
"ENSMUSG00000099904","Gm28270","predicted gene 28270 [Source:MGI Symbol;Acc:MGI:5578976]"
"ENSMUSG00000099523","Gm28327","predicted gene 28327 [Source:MGI Symbol;Acc:MGI:5579033]"
"ENSMUSG00000100542","Gm28097","predicted gene 28097 [Source:MGI Symbol;Acc:MGI:5578803]"
"ENSMUSG00000101095","Gm29329","predicted gene 29329 [Source:MGI Symbol;Acc:MGI:5580035]"
"ENSMUSG00000100463","Gm28848","predicted gene 28848 [Source:MGI Symbol;Acc:MGI:5579554]"
"ENSMUSG00000100661","Gm29471","predicted gene 29471 [Source:MGI Symbol;Acc:MGI:5580177]"
"ENSMUSG00000100571","Gm29474","predicted gene 29474 [Source:MGI Symbol;Acc:MGI:5580180]"
"ENSMUSG00000100049","Gm28506","predicted gene 28506 [Source:MGI Symbol;Acc:MGI:5579212]"
"ENSMUSG00000100477","Gm28507","predicted gene 28507 [Source:MGI Symbol;Acc:MGI:5579213]"
"ENSMUSG00000099439","Gm29142","predicted gene 29142 [Source:MGI Symbol;Acc:MGI:5579848]"
"ENSMUSG00000095032","Gm21310","predicted gene, 21310 [Source:MGI Symbol;Acc:MGI:5434665]"
"ENSMUSG00000099372","Gm28509","predicted gene 28509 [Source:MGI Symbol;Acc:MGI:5579215]"
"ENSMUSG00000101699","Gm28508","predicted gene 28508 [Source:MGI Symbol;Acc:MGI:5579214]"
"ENSMUSG00000095242","Gm20834","predicted gene, 20834 [Source:MGI Symbol;Acc:MGI:5434190]"
"ENSMUSG00000100742","Gm28953","predicted gene 28953 [Source:MGI Symbol;Acc:MGI:5579659]"
"ENSMUSG00000100730","Gm20776","predicted gene, 20776 [Source:MGI Symbol;Acc:MGI:5434132]"
"ENSMUSG00000094838","Gm20828","predicted gene, 20828 [Source:MGI Symbol;Acc:MGI:5434184]"
"ENSMUSG00000101319","Gm28957","predicted gene 28957 [Source:MGI Symbol;Acc:MGI:5579663]"
"ENSMUSG00000100015","Gm28952","predicted gene 28952 [Source:MGI Symbol;Acc:MGI:5579658]"
"ENSMUSG00000101842","Gm28391","predicted gene 28391 [Source:MGI Symbol;Acc:MGI:5579097]"
"ENSMUSG00000101871","Gm28389","predicted gene 28389 [Source:MGI Symbol;Acc:MGI:5579095]"
"ENSMUSG00000100919","Gm28655","predicted gene 28655 [Source:MGI Symbol;Acc:MGI:5579361]"
"ENSMUSG00000101123","Gm28654","predicted gene 28654 [Source:MGI Symbol;Acc:MGI:5579360]"
"ENSMUSG00000100368","Gm28656","predicted gene 28656 [Source:MGI Symbol;Acc:MGI:5579362]"
"ENSMUSG00000103330","Gm35108","predicted gene, 35108 [Source:MGI Symbol;Acc:MGI:5594267]"
"ENSMUSG00000104505","Gm37739","predicted gene, 37739 [Source:MGI Symbol;Acc:MGI:5610967]"
"ENSMUSG00000102251","Gm37654","predicted gene, 37654 [Source:MGI Symbol;Acc:MGI:5610882]"
"ENSMUSG00000102835","Gm37572","predicted gene, 37572 [Source:MGI Symbol;Acc:MGI:5610800]"
"ENSMUSG00000103943","Gm37344","predicted gene, 37344 [Source:MGI Symbol;Acc:MGI:5610572]"
"ENSMUSG00000102624","Gm37059","predicted gene, 37059 [Source:MGI Symbol;Acc:MGI:5610287]"
"ENSMUSG00000102138","Gm31942","predicted gene, 31942 [Source:MGI Symbol;Acc:MGI:5591101]"
"ENSMUSG00000102582","Gm37440","predicted gene, 37440 [Source:MGI Symbol;Acc:MGI:5610668]"
"ENSMUSG00000103666","Gm38185","predicted gene, 38185 [Source:MGI Symbol;Acc:MGI:5611413]"
"ENSMUSG00000102392","Gm37577","predicted gene, 37577 [Source:MGI Symbol;Acc:MGI:5610805]"
"ENSMUSG00000095172","Gm20822","predicted gene, 20822 [Source:MGI Symbol;Acc:MGI:5434178]"
"ENSMUSG00000102265","Gm32447","predicted gene, 32447 [Source:MGI Symbol;Acc:MGI:5591606]"
"ENSMUSG00000103234","Gm37158","predicted gene, 37158 [Source:MGI Symbol;Acc:MGI:5610386]"
"ENSMUSG00000102288","Gm36998","predicted gene, 36998 [Source:MGI Symbol;Acc:MGI:5610226]"
"ENSMUSG00000094829","Gm21809","predicted gene, 21809 [Source:MGI Symbol;Acc:MGI:5433973]"
"ENSMUSG00000102867","Gm37635","predicted gene, 37635 [Source:MGI Symbol;Acc:MGI:5610863]"
"ENSMUSG00000102968","Gm35070","predicted gene, 35070 [Source:MGI Symbol;Acc:MGI:5594229]"
"ENSMUSG00000103796","Gm38094","predicted gene, 38094 [Source:MGI Symbol;Acc:MGI:5611322]"
"ENSMUSG00000102552","Gm21763","predicted gene, 21763 [Source:MGI Symbol;Acc:MGI:5433927]"
"ENSMUSG00000102195","Gm38168","predicted gene, 38168 [Source:MGI Symbol;Acc:MGI:5611396]"
"ENSMUSG00000104506","Gm37740","predicted gene, 37740 [Source:MGI Symbol;Acc:MGI:5610968]"
"ENSMUSG00002074919","Gm54350","predicted gene, 54350 [Source:MGI Symbol;Acc:MGI:6845180]"
"ENSMUSG00000102913","Gm37723","predicted gene, 37723 [Source:MGI Symbol;Acc:MGI:5610951]"
"ENSMUSG00000103664","Gm36261","predicted gene, 36261 [Source:MGI Symbol;Acc:MGI:5595420]"
"ENSMUSG00000103005","Gm37898","predicted gene, 37898 [Source:MGI Symbol;Acc:MGI:5611126]"
"ENSMUSG00000103752","Gm36467","predicted gene, 36467 [Source:MGI Symbol;Acc:MGI:5595626]"
"ENSMUSG00000102551","Gm37927","predicted gene, 37927 [Source:MGI Symbol;Acc:MGI:5611155]"
"ENSMUSG00000103365","Gm36929","predicted gene, 36929 [Source:MGI Symbol;Acc:MGI:5610157]"
"ENSMUSG00000103829","Gm38174","predicted gene, 38174 [Source:MGI Symbol;Acc:MGI:5611402]"
"ENSMUSG00000103689","Gm30598","predicted gene, 30598 [Source:MGI Symbol;Acc:MGI:5589757]"
"ENSMUSG00000094294","Gm20909","predicted gene, 20909 [Source:MGI Symbol;Acc:MGI:5434265]"
"ENSMUSG00000093848","Gm20865","predicted gene, 20865 [Source:MGI Symbol;Acc:MGI:5434221]"
"ENSMUSG00000102429","Gm37462","predicted gene, 37462 [Source:MGI Symbol;Acc:MGI:5610690]"
"ENSMUSG00000102849","Gm37658","predicted gene, 37658 [Source:MGI Symbol;Acc:MGI:5610886]"
"ENSMUSG00000102513","Gm32347","predicted gene, 32347 [Source:MGI Symbol;Acc:MGI:5591506]"
"ENSMUSG00000102966","Gm31123","predicted gene, 31123 [Source:MGI Symbol;Acc:MGI:5590282]"
"ENSMUSG00000104425","Gm38370","predicted gene, 38370 [Source:MGI Symbol;Acc:MGI:5611598]"
"ENSMUSG00000102146","Gm38054","predicted gene, 38054 [Source:MGI Symbol;Acc:MGI:5611282]"
"ENSMUSG00000102159","Gm37476","predicted gene, 37476 [Source:MGI Symbol;Acc:MGI:5610704]"
"ENSMUSG00000102506","Gm37369","predicted gene, 37369 [Source:MGI Symbol;Acc:MGI:5610597]"
"ENSMUSG00000102826","Gm38181","predicted gene, 38181 [Source:MGI Symbol;Acc:MGI:5611409]"
"ENSMUSG00000053211","Zfy1","zinc finger protein 1, Y-linked [Source:MGI Symbol;Acc:MGI:99212]"
"ENSMUSG00000069053","Uba1y","ubiquitin-activating enzyme, Chr Y [Source:MGI Symbol;Acc:MGI:98891]"
"ENSMUSG00000101107","Gm28587","predicted gene 28587 [Source:MGI Symbol;Acc:MGI:5579293]"
"ENSMUSG00000101666","Rhoay-ps3","ras homolog A translocated to the Y, pseudogene 3 [Source:MGI Symbol;Acc:MGI:1314637]"
"ENSMUSG00000056673","Kdm5d","lysine demethylase 5D [Source:MGI Symbol;Acc:MGI:99780]"
"ENSMUSG00000075874","n-R5s1","nuclear encoded rRNA 5S 1 [Source:MGI Symbol;Acc:MGI:4421733]"
"ENSMUSG00002076920","Gm54351","predicted gene, 54351 [Source:MGI Symbol;Acc:MGI:6845182]"
"ENSMUSG00000069049","Eif2s3y","eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430]"
"ENSMUSG00000099876","Gm29650","predicted gene 29650 [Source:MGI Symbol;Acc:MGI:5580356]"
"ENSMUSG00000068457","Uty","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:MGI Symbol;Acc:MGI:894810]"
"ENSMUSG00000069045","Ddx3y","DEAD box helicase 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]"
"ENSMUSG00000101059","Gm4017","predicted gene 4017 [Source:MGI Symbol;Acc:MGI:3782191]"
"ENSMUSG00000099809","Gm18665","predicted gene, 18665 [Source:MGI Symbol;Acc:MGI:5010850]"
"ENSMUSG00000069044","Usp9y","ubiquitin specific peptidase 9, Y chromosome [Source:MGI Symbol;Acc:MGI:1313274]"
"ENSMUSG00000077793","Gm25565","predicted gene, 25565 [Source:MGI Symbol;Acc:MGI:5455342]"
"ENSMUSG00000100842","Gm17790","predicted gene, 17790 [Source:MGI Symbol;Acc:MGI:5009972]"
"ENSMUSG00000101947","Gm29167","predicted gene 29167 [Source:MGI Symbol;Acc:MGI:5579873]"
"ENSMUSG00000100619","Gm8446","predicted gene 8446 [Source:MGI Symbol;Acc:MGI:3645802]"
"ENSMUSG00000100877","Gm28534","predicted gene 28534 [Source:MGI Symbol;Acc:MGI:5579240]"
"ENSMUSG00000100576","Gm28975","predicted gene 28975 [Source:MGI Symbol;Acc:MGI:5579681]"
"ENSMUSG00000100326","Gm28974","predicted gene 28974 [Source:MGI Symbol;Acc:MGI:5579680]"
"ENSMUSG00000100356","Gm18797","predicted gene, 18797 [Source:MGI Symbol;Acc:MGI:5010982]"
"ENSMUSG00000101443","Rhoay-ps1","ras homolog A translocated to the Y, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1314639]"
"ENSMUSG00000000103","Zfy2","zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]"
"ENSMUSG00000099614","Uba1y-ps2","ubiquitin-activating enzyme, Chr Y, pseudogene 2 [Source:MGI Symbol;Acc:MGI:102958]"
"ENSMUSG00000099973","Gm18796","predicted gene, 18796 [Source:MGI Symbol;Acc:MGI:5010981]"
"ENSMUSG00000099888","Gm29552","predicted gene 29552 [Source:MGI Symbol;Acc:MGI:5580258]"
"ENSMUSG00000100445","Gm29550","predicted gene 29550 [Source:MGI Symbol;Acc:MGI:5580256]"
"ENSMUSG00000102072","Gm29551","predicted gene 29551 [Source:MGI Symbol;Acc:MGI:5580257]"
"ENSMUSG00000101290","Gm8480","predicted gene 8480 [Source:MGI Symbol;Acc:MGI:3647867]"
"ENSMUSG00000100103","Gm29553","predicted gene 29553 [Source:MGI Symbol;Acc:MGI:5580259]"
"ENSMUSG00002075837","Gm54352","predicted gene, 54352 [Source:MGI Symbol;Acc:MGI:6845184]"
"ENSMUSG00000102120","Gm28630","predicted gene 28630 [Source:MGI Symbol;Acc:MGI:5579336]"
"ENSMUSG00000099445","Gm28629","predicted gene 28629 [Source:MGI Symbol;Acc:MGI:5579335]"
"ENSMUSG00000094881","H2al2c","H2A histone family member L2C [Source:MGI Symbol;Acc:MGI:3779546]"
"ENSMUSG00000099748","Uba1y-ps1","ubiquitin-activating enzyme, Chr Y, pseudogene 1 [Source:MGI Symbol;Acc:MGI:98892]"
"ENSMUSG00000069036","Sry","sex determining region of Chr Y [Source:MGI Symbol;Acc:MGI:98660]"
"ENSMUSG00000101064","Gm18798","predicted gene, 18798 [Source:MGI Symbol;Acc:MGI:5010983]"
"ENSMUSG00000095573","H2al2b","H2A histone family member L2B [Source:MGI Symbol;Acc:MGI:3710623]"
"ENSMUSG00000102053","Rbmyf1","RNA binding motif protein Y-linked family member 1 [Source:MGI Symbol;Acc:MGI:3782239]"
"ENSMUSG00000100700","Gm6137","predicted gene 6137 [Source:MGI Symbol;Acc:MGI:3643498]"
"ENSMUSG00000101066","Gm8498","predicted gene 8498 [Source:MGI Symbol;Acc:MGI:3646440]"
"ENSMUSG00000094658","Rbmy","RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]"
"ENSMUSG00000095852","Rbmyf2","RNA binding motif protein Y-linked family member 2 [Source:MGI Symbol;Acc:MGI:3710530]"
"ENSMUSG00000100145","Gm8502","predicted gene 8502 [Source:MGI Symbol;Acc:MGI:3646437]"
"ENSMUSG00000099405","Gm8506","predicted gene 8506 [Source:MGI Symbol;Acc:MGI:3643897]"
"ENSMUSG00000091987","Rbmyf3","RNA binding motif protein Y-linked family member 3 [Source:MGI Symbol;Acc:MGI:3708825]"
"ENSMUSG00000099728","Gm8510","predicted gene 8510 [Source:MGI Symbol;Acc:MGI:3648242]"
"ENSMUSG00000101106","Gm28819","predicted gene 28819 [Source:MGI Symbol;Acc:MGI:5579525]"
"ENSMUSG00000101786","Gm28840","predicted gene 28840 [Source:MGI Symbol;Acc:MGI:5579546]"
"ENSMUSG00000121285","Gm28840","predicted gene 28840 [Source:NCBI gene (formerly Entrezgene);Acc:102632557]"
"ENSMUSG00000101444","Gm29179","predicted gene 29179 [Source:MGI Symbol;Acc:MGI:5579885]"
"ENSMUSG00000121289","Gm57861","predicted gene, 57861 [Source:MGI Symbol;Acc:MGI:7798888]"
"ENSMUSG00000100898","Gm29178","predicted gene 29178 [Source:MGI Symbol;Acc:MGI:5579884]"
"ENSMUSG00000121290","Gm57862","predicted gene, 57862 [Source:MGI Symbol;Acc:MGI:7798890]"
"ENSMUSG00000102129","Gm28969","predicted gene 28969 [Source:MGI Symbol;Acc:MGI:5579675]"
"ENSMUSG00000121291","Gm57863","predicted gene, 57863 [Source:MGI Symbol;Acc:MGI:7798892]"
"ENSMUSG00000100379","Gm28677","predicted gene 28677 [Source:MGI Symbol;Acc:MGI:5579383]"
"ENSMUSG00000121292","Gm57864","predicted gene, 57864 [Source:MGI Symbol;Acc:MGI:7798894]"
"ENSMUSG00000099685","Gm29617","predicted gene 29617 [Source:MGI Symbol;Acc:MGI:5580323]"
"ENSMUSG00000121293","Gm57865","predicted gene, 57865 [Source:MGI Symbol;Acc:MGI:7798896]"
"ENSMUSG00000100559","Gm20803","predicted gene, 20803 [Source:MGI Symbol;Acc:MGI:5434159]"
"ENSMUSG00000101326","Gm28835","predicted gene 28835 [Source:MGI Symbol;Acc:MGI:5579541]"
"ENSMUSG00000121321","Gm57866","predicted gene, 57866 [Source:MGI Symbol;Acc:MGI:7798898]"
"ENSMUSG00000100322","Gm29624","predicted gene 29624 [Source:MGI Symbol;Acc:MGI:5580330]"
"ENSMUSG00000121323","Gm57867","predicted gene, 57867 [Source:MGI Symbol;Acc:MGI:7798900]"
