gene	logFC
LOC105377558	7.265729494642
KRT81	6.87529564495597
LOC107985429	6.85537309753751
DTNA	6.54651225605033
CTTNBP2	6.32420409752007
LOC729296	6.14623425607769
TIFAB	6.06938869043357
KRT86	6.01843732808439
DCANP1	6.01402735009949
PSAT1	5.98899599463338
TCN1	5.93233289700009
P2RY6	5.8178561065925
SLC25A48-AS1	5.76037897183678
LOC102724008	5.68030721093314
NEUROG1	5.66681349596579
MRC1	5.65119507533507
PKIB	5.57890952345094
PNPLA3	5.56166696635784
RHOXF1P1	5.55963492716852
CCR2	5.48151002153948
LOC105374234	5.45179399048274
BGLT3	5.39317589147885
CLC	5.33350769988555
LOC107985871	5.32857434236584
GPR15	5.32362730824103
CD1A	5.27023832707974
PIF1	5.21169077890377
SIGLEC6	5.20977348455261
LIF	5.13720769902144
CES1	5.13636871989137
CD1E	5.13465969853834
KIF18B	5.12325870342841
CYP1B1	5.11065345065375
C6orf223	5.09629502447138
SLCO4C1	5.07142882357252
FST	5.06301293120453
PIGR	5.05728732868598
IPCEF1	5.04477584573667
PKLR	4.96146937323992
PLK1	4.93758386280022
ESPL1	4.93171590337356
TGM5	4.90898207221421
LINC02073	4.9070503980206
ASGR2	4.8975914337973
COL25A1	4.89660394853229
TMEM236	4.84503321706975
RBP4	4.79822145753857
PRG3	4.78241501519857
CLEC10A	4.77330919799066
PCSK9	4.76079982172449
FZD2	4.75902400149577
LOC105372499	4.75667806546911
LOC107985933	4.75196844066197
LOC105374464	4.74124942357914
CEACAM6	4.71125155675659
ENPP3	4.71077918643611
MIR5687	4.69818912709314
FFAR4	4.6952272808412
DUSP5P1	4.6859255400452
E2F8	4.67642829413068
CDCA2	4.67205508307648
LOC105372711	4.66137785330347
KCNK10	4.62868307082175
NEUROG3	4.62848808552402
CHRNA6	4.61020570978233
AHRR	4.59257159352991
DLGAP1-AS3	4.58426324031774
ZNF366	4.58327490807027
EPX	4.57296499942877
GTSE1	4.55147311714021
PTGER3	4.52548215882056
SPRY4	4.52501560797818
APOL4	4.51697058451049
LOC91370	4.4952984227093
CDH1	4.48217622508211
NDFIP2	4.47098893827491
LINC02204	4.47071199261905
MIR3686	4.47049920051047
MKI67	4.46986941735855
PSRC1	4.46483219247809
LUM	4.44926821762708
LOC105373559	4.43320868569442
CD276	4.43143596868739
ESCO2	4.40220442753321
SPRY4-AS1	4.38389382608348
LINC01146	4.36301396835426
TEX15	4.35966546302453
CBSL	4.35634958990792
CBS	4.32795137618762
CXCL14	4.32786781974282
LINC01355	4.32572009031168
HJURP	4.31664425434319
MGAT3-AS1	4.29881166577878
LIF-AS1	4.2845793443774
TROAP	4.28411241268292
KCNQ3	4.27707946669986
DPP4	4.27237931187023
CENPA	4.27224140846049
CCNF	4.26385334047111
WNT5B	4.24581844947239
FBXO43	4.23036772256894
CENPI	4.22814654941965
FAM72B	4.20587874877052
KCNA5	4.20401114510269
ASPM	4.19111699314681
S100B	4.18753883458608
HMSD	4.18454501061651
SLFN12L	4.1746392521795
CDK1	4.17356510432748
LINC02642	4.17192461349222
HMMR-AS1	4.1675478425786
HTR7	4.15698666343958
IL1RL1	4.1517102153464
RAB7B	4.14746223718002
CENPE	4.14606503695865
KIF14	4.14504317200654
RGL1	4.14071227792304
CEP55	4.13658946920829
IL9R	4.13030196812155
LOC100506497	4.10459197781119
UBXN10	4.09755119562148
SUCNR1	4.09501351910899
LOC105377327	4.09151605798816
SPC25	4.08937889519135
DLGAP5	4.0872495720646
NCS1	4.08407142382445
CYP1B1-AS1	4.06977363150384
TRGV2	4.06809116417554
TICRR	4.06734143586316
C10orf82	4.06566481955696
ITK	4.0648411380177
E2F7	4.05526098695349
TOP2A	4.05502576681487
KIF23	4.04923375967541
FAM72C	4.03733794504318
LOC107984763	4.03408829650801
AURKB	4.03039649395456
RHAG	4.02751191958312
RRM2	4.0165159411419
SLC4A3	4.01494588155925
KRT17	4.01070982354176
KIFC1	4.00887125088261
LOC107985137	4.00361592302799
SLC7A11	3.99695800722401
CKAP2L	3.98625122997624
LOC105378731	3.96882884316799
LOC105378120	3.96512202944346
FAM95C	3.9509737960122
LOC107985517	3.95093588234697
LOC107987083	3.94749469624292
KRT19	3.93829341857297
ASIC1	3.92819009479014
LOC107986977	3.92053129707616
HMMR	3.91861869680838
BVES	3.91545254030936
LPO	3.91167092821831
