gene	logFC
Trim30a	4.62767938287673
Acot12	4.60923317684795
Hao2	4.59520923042639
Ptgdr	4.58627403873587
Kbtbd11	4.53363763162177
Hoxb6	4.51183282558943
Gm10134	4.49097733200976
Fxyd5	4.48565274236667
Gm15292	4.48333903059406
Gpr132	4.46370302788619
Aspa	4.46092957492448
Gm17334	4.45336563247046
Gm10499	4.43444801557185
Sp140	4.38622230488448
Slc5a11	4.36901725409088
Oasl2	4.36744352739991
Zyg11a	4.34930612767838
Cubn	4.34442768636892
Fabp6	4.34118409688609
Fhl1	4.34103684134939
Ggta1	4.33590355010018
Insrr	4.31447300558929
Tlr1	4.31133592939724
Tppp	4.30606650907323
Fam176a	4.30527095924115
C4b	4.3030975478799
Gm9992	4.29953423518568
E030010A14Rik	4.29695020494302
Prrt1	4.28429914239683
Napsa	4.27958761301923
Gm9994	4.27909547250661
Lmo2	4.27692679784082
Gm4759	4.27527267505765
Cd37	4.27211907835187
Tppp3	4.26020945121856
Ptprcap	4.24748428943828
Pdzk1	4.22877592834787
Ptk6	4.22017828495571
Batf2	4.19101320919767
Rac2	4.17093995188167
Pld4	4.16455555549179
Txk	4.16424781644348
Tnfaip8l3	4.15911128661812
Rdh16	4.15583966682452
Tlr12	4.1483371534388
C3	4.14079345025637
Fam169b	4.13991020227353
Prkcq	4.13310387668942
Nfam1	4.13268257176452
Pmp22	4.12635823477824
Skap1	4.12494891282956
Hsd17b6	4.11840782504477
Runx2	4.11273566317468
Serpinb6b	4.08398572548632
Wnt6	4.08205921748232
Fcer2a	4.07660385599532
Itgae	4.07589218798653
Enpp3	4.07353774362048
Cyp17a1	4.07336057863398
Itgad	4.06216897173494
Gm14851	4.05967245458165
Gm11127	4.03209506358822
Hspa12a	4.01169270851132
Gbp7	4.00802617405435
Ipcef1	3.99817157162941
Gpr126	3.98116052885895
Defa-rs1	3.96097470605998
Gimap8	3.95710974984097
Bai1	3.95651705806274
Dkk3	3.927467023699
Mafb	3.92713488647489
Grip2	3.9181374136762
Podn	3.91219795527677
Trim5	3.9038595292908
Grap2	3.8978583647035
Rtp4	3.87575850425824
Anpep	3.86893096634257
Klhl33	3.86656008059412
Gpr133	3.85502961644484
Reg1	3.84680782247686
Mx1	3.82069150186801
P2ry4	3.81045484026078
Ppp1r16b	3.80953872091906
Gm8909	3.80594825327414
Nt5e	3.78350298025282
Ifi47	3.77999899655247
Cd160	3.75122943424742
1700011H14Rik	3.73625091186903
Fcer1g	3.70934867614794
Gal3st2	3.70714788706074
Parp14	3.70710859679088
A930018M24Rik	3.68243250452198
Vnn1	3.67588927822163
Trim30d	3.66318572184447
Itgb7	3.65576715580464
Qk	3.6474880830127
Mpeg1	3.63960788712975
Gm17305	3.63766926684683
NR_038011	3.62872703666576
Ctrl	3.60840323116015
Slc15a1	3.59771444441801
Rasgrp2	3.59414223661809
Cyp27a1	3.58823913700102
Fcgrt	3.58679835430725
Irf1	3.57270204408161
Gm17120	3.57220643284409
Igtp	3.56611243390256
Meg3	3.55728553489441
Six4	3.55039674437305
Dok3	3.54226630240116
Bst1	3.54097811320347
Itgal	3.5269431181702
Trim38	3.5265138173156
Fer1l6	3.51141774506953
Olfr165	3.50315359940216
Arhgef6	3.49609926247093
Lyz2	3.4933858976762
Agap2	3.48612291197868
Pltp	3.48060308494897
Sypl2	3.46030008529976
Zeb1	3.45976733348862
CT009767.1	3.4512879848888
Kcns3	3.45092758077192
Cd247	3.45035497139576
Xaf1	3.43971172690916
D14Ertd668e	3.43674978058482
Ms4a1	3.41149271013095
Alox5	3.4114590838394
Arhgap4	3.41082187145061
Pla2g4c	3.40081660072347
Ddo	3.39804194748708
Rcsd1	3.37266069244023
Lama4	3.36911965498556
Gda	3.36773456658317
Irgm2	3.35078122964738
Edn2	3.33060244710895
Akr1b7	3.31729111237879
Rhbg	3.3135935481059
Nlrp9b	3.30587417756687
Gm6034	3.2993081266795
Heatr8	3.29927688511904
Hip1	3.29587131902097
Scarf1	3.28876152983907
Btnl2	3.27873042670093
Def6	3.27511266112695
Sgk1	3.27439611151133
Lama3	3.27427482246387
Acacb	3.27229495952167
Ddx60	3.26045775941191
C030017K20Rik	3.25399611134065
Btk	3.24092683694633
Muc3	3.23973078407787
Cd101	3.22801163117673
Cst6	3.21626275959889
Muc2	3.21402253100595
Maf	3.21035742567526
Pstpip1	3.20795418960954
BC064078	3.20200117815012
Osta	3.19575184134507
Slfn8	3.17480667274761
AW112010	3.15966728370313
Pip4k2a	3.15599323543018
Sntb1	3.15478968392796
Gm6086	3.14700497134119
Rgs22	3.14438716838693
Ccl6	3.13841561239143
Gm10925	3.11940722210174
Ace	3.11780857731368
Clec2h	3.11479125856
AI467606	3.10352592757176
Ifit3	3.10039235050447
Eci3	3.08940766102472
Mkx	3.08342990851419
Lyz1	3.08306463758427
Basp1	3.08287473089501
Ly9	3.08100553885894
Capn3	3.07415199029402
RP23-108F2.4	3.0677340036035
Mep1b	3.05825816471915
Cxcl11	3.05715126402696
Adcy7	3.05403404571022
Sybu	3.04487741515473
Gm10935	3.04359205288476
Abp1	3.03291051183429
AC129609.1	3.03241573170605
Duox2	3.0308861763943
Noxa1	3.01354406591382
Slfn10-ps	3.01003314241556
Rinl	3.00643401633295
Hectd2	2.99797364118328
Slc43a2	2.99749795765023
Rdx	2.98992434949614
Cd72	2.98729761912627
Hoxb5	2.98641664906887
Spata22	2.97008012737801
Slc34a2	2.96990810694467
Slc25a45	2.96449074150941
Klkb1	2.9628614710335
Trim72	2.95772617013159
Ppp4r4	2.94335861076751
Mx2	2.94279582661862
Apoa1	2.94277792168655
Prss30	2.9427256494488
G6pc	2.93949147895479
Cyp3a25	2.93848669835849
H2-Q8	2.91531452363341
Odf3b	2.9032134202372
Cd36	2.8956815628066
Ros1	2.8942770789251
H2-DMa	2.88945412318692
Gm3054	2.87395009338757
Efhb	2.87121037425566
Il9r	2.86894233380013
Uba7	2.86550421360696
H2-Bl	2.86030326511063
Cyp3a11	2.8599879953758
Cxcr6	2.85994999970595
Xdh	2.85497095151356
Slc13a1	2.85381923743136
Slc9a3	2.85252933709185
Ttc28	2.85212460204057
Usp18	2.85179277910284
Reg3d	2.84155031313804
Defa21	2.84105373013325
Mfsd7a	2.83826614037365
Slc2a13	2.83194762495057
Oas1g	2.83177515798531
Defa3	2.83164137580208
Rdh9	2.83113359193322
